prompt_id,task_name,strategy,length,specificity,vocabulary,syntax,sc_mean
297,is_multiply_prime,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0000000000000002
298,is_multiply_prime,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
299,is_multiply_prime,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0000000000000002
300,is_multiply_prime,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0
301,is_simple_power,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9912365951265288
302,is_simple_power,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9872451668530269
303,is_simple_power,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
304,is_simple_power,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9722048201757459
305,is_simple_power,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
306,iscube,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000004
307,iscube,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999998
308,iscube,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
309,iscube,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9999999999999998
310,iscube,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0
311,hex_key,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.7701245949778076
312,hex_key,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8965052325086178
313,hex_key,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
314,hex_key,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9957326230151915
315,hex_key,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9092440729423915
316,decimal_to_binary,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9668745718649131
317,decimal_to_binary,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9774907555381797
318,decimal_to_binary,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9793839078594324
319,decimal_to_binary,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9977761424924951
320,decimal_to_binary,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
321,is_happy,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9867085745442445
322,is_happy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9949012427753228
323,is_happy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000004
324,is_happy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9266760346539098
325,is_happy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9844350271122497
326,numerical_letter_grade,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000004
327,numerical_letter_grade,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999997
328,numerical_letter_grade,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8046655081852025
329,numerical_letter_grade,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9641444992217336
330,numerical_letter_grade,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9933329895091179
331,prime_length,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9950258038228947
332,prime_length,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0
333,prime_length,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
334,prime_length,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9916315942091597
335,prime_length,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9810181842266872
336,starts_one_ends,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
337,starts_one_ends,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9150573545543162
338,starts_one_ends,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9478244515550942
339,starts_one_ends,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9965811820512365
340,starts_one_ends,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.91994884263289
341,solve_1,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9988400083572213
342,solve_1,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9756026735871899
343,solve_1,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
344,solve_1,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.997739872146467
345,solve_1,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9134463482755685
346,anti_shuffle,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9986223107807561
347,anti_shuffle,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9971719967640877
348,anti_shuffle,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9392843128846623
349,anti_shuffle,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9966253875227771
350,anti_shuffle,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9610127586977285
351,get_row,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8672457419274228
352,get_row,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.90322265187894
353,get_row,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9646217110622247
354,get_row,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0
355,get_row,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9352147468757055
356,sort_array,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.933481040652443
357,sort_array,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.7743845840433655
358,sort_array,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9375118249163112
359,sort_array,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.7406430560112082
360,sort_array,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9965910823625423
361,encrypt,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999998
362,encrypt,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9982425701208172
363,encrypt,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9709099474892587
364,encrypt,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9974004081202189
365,encrypt,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.7777819897831941
366,next_smallest,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9514227740433785
367,next_smallest,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.998900745609221
368,next_smallest,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999998
369,next_smallest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9391355957575238
370,next_smallest,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
371,is_bored,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9797254561251684
372,is_bored,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9679054886357775
373,is_bored,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
374,is_bored,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9475070615602579
375,is_bored,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.961367430826243
376,any_int,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
377,any_int,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9920241126751588
378,any_int,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000004
379,any_int,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9645124963227154
380,any_int,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
381,encode,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9826467326527621
382,encode,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9958147298109552
383,encode,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
384,encode,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9758939463950579
385,encode,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9827998747605255
386,skjkasdkd,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
387,skjkasdkd,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.979947839937424
388,skjkasdkd,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9724539386656961
389,skjkasdkd,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9824477933382738
390,skjkasdkd,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9726591666386989
391,check_dict_case,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9006853364605888
392,check_dict_case,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9621245014792235
393,check_dict_case,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
394,check_dict_case,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9927692334819224
395,check_dict_case,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9939729083541753
396,count_up_to,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9935275583327421
397,count_up_to,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.866254914844838
398,count_up_to,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9928433903386035
399,count_up_to,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0000000000000007
400,count_up_to,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000002
401,multiply,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
402,multiply,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.956026480238323
403,multiply,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.8043239606980406
404,multiply,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9859049477656692
405,multiply,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.7978386548349341
406,count_upper,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
407,count_upper,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9967790449830496
408,count_upper,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
409,count_upper,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9971431837980764
410,count_upper,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9912265321913134
411,closest_integer,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.7304425310573793
412,closest_integer,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.963296501569151
413,closest_integer,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
414,closest_integer,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8989481923482439
415,closest_integer,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0000000000000004
416,make_a_pile,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9252051205408314
417,make_a_pile,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9610155024540102
418,make_a_pile,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9860921750332607
419,make_a_pile,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9959151940283437
420,make_a_pile,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0
421,words_string,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.981145517090558
422,words_string,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9664182999076474
423,words_string,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000004
424,words_string,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9650507032260828
425,words_string,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.989068051034861
426,choose_num,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9781508645375231
427,choose_num,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9041055823969412
428,choose_num,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
429,choose_num,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9817479578410337
430,choose_num,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,1.0
431,rounded_avg,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
432,rounded_avg,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9948107328426004
433,rounded_avg,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9999999999999998
434,rounded_avg,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9062748297083749
435,rounded_avg,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9999999999999998
436,unique_digits,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.989276469545507
437,unique_digits,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0
438,unique_digits,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9116318901964491
439,unique_digits,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.7759308779346483
440,unique_digits,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9108592811357366
441,by_length,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.7566634937630935
442,by_length,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9697915627726712
443,by_length,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9764244600306309
444,by_length,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.8869841414709635
445,by_length,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9015312549404859
446,even_odd_palindrome,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9854737671233955
447,even_odd_palindrome,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9901867966784682
448,even_odd_palindrome,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
449,even_odd_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9926552405801246
450,even_odd_palindrome,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9703039058127763
451,solve_2,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8751256134214218
452,solve_2,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9767243085087147
453,solve_2,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
454,solve_2,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9516274811345402
455,solve_2,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9805398760720173
456,add_elements,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0
457,add_elements,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0
458,add_elements,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000004
459,add_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.975497315485026
460,add_elements,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.934686433919096
461,get_odd_collatz,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000002
462,get_odd_collatz,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.6639942654736404
463,get_odd_collatz,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9586642175496769
464,get_odd_collatz,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9970252385602739
465,get_odd_collatz,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.7803057558877189
466,valid_date,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9768178214508275
467,valid_date,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9970867915123165
468,valid_date,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
469,valid_date,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9846492454814337
470,valid_date,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9525019774690149
471,split_words,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.8766031163489482
472,split_words,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.8694065321555329
473,split_words,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9864856473847278
474,split_words,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9577857013538411
475,split_words,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.8855274893944861
476,is_sorted,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9119217734210942
477,is_sorted,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.7758448125138921
478,is_sorted,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9924229818619883
479,is_sorted,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9885491205648844
480,is_sorted,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9546950490653687
481,intersection,Zero-Shot,Short,Abstract,Natural Language,Imperative,1.0000000000000004
482,intersection,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0
483,intersection,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,0.9979992847291254
484,intersection,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,1.0
485,intersection,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.990655497685261
486,prod_signs,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9999999999999998
487,prod_signs,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9660127969305018
488,prod_signs,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
489,prod_signs,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.983928216587308
490,prod_signs,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9656410025136377
491,minPath,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9027153371922869
492,minPath,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,1.0000000000000002
493,minPath,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0
494,minPath,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9999999999999997
495,minPath,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9850720642105412
496,tri,Zero-Shot,Short,Abstract,Natural Language,Imperative,0.9969410292364342
497,tri,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,0.9999999999999998
498,tri,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,1.0000000000000002
499,tri,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,0.9919690991623329
500,tri,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,0.9897400569651623
