prompt_id,task_name,task_difficulty,strategy,length,specificity,vocabulary,syntax,prompt_text
120,strlen,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named strlen is required. Its purpose is to Return the length of a string.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
121,largest_divisor,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called largest_divisor that Find the largest divisor of an integer less than itself.
122,largest_divisor,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function largest_divisor should Find the largest divisor of an integer less than itself. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
123,largest_divisor,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function largest_divisor that Find the largest divisor of an integer less than itself.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement largest_divisor following the same pattern. Use type hints. Return the correct data type."
124,largest_divisor,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called largest_divisor that Find the largest divisor of an integer less than itself.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
125,largest_divisor,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named largest_divisor is required. Its purpose is to Find the largest divisor of an integer less than itself.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
126,factorize,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called factorize that Return the prime factors of an integer as a sorted list.
127,factorize,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function factorize should Return the prime factors of an integer as a sorted list. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
128,factorize,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function factorize that Return the prime factors of an integer as a sorted list.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement factorize following the same pattern. Use type hints. Return the correct data type."
129,factorize,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called factorize that Return the prime factors of an integer as a sorted list.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
130,factorize,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named factorize is required. Its purpose is to Return the prime factors of an integer as a sorted list.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
131,remove_duplicates,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called remove_duplicates that Remove duplicate elements from a list preserving order.
132,remove_duplicates,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function remove_duplicates should Remove duplicate elements from a list preserving order. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
133,remove_duplicates,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function remove_duplicates that Remove duplicate elements from a list preserving order.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement remove_duplicates following the same pattern. Use type hints. Return the correct data type."
134,remove_duplicates,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called remove_duplicates that Remove duplicate elements from a list preserving order.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
135,remove_duplicates,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named remove_duplicates is required. Its purpose is to Remove duplicate elements from a list preserving order.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
136,change_base,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called change_base that Convert an integer to a given base and return as string.
137,change_base,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function change_base should Convert an integer to a given base and return as string. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
138,change_base,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function change_base that Convert an integer to a given base and return as string.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement change_base following the same pattern. Use type hints. Return the correct data type."
139,change_base,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called change_base that Convert an integer to a given base and return as string.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
140,change_base,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named change_base is required. Its purpose is to Convert an integer to a given base and return as string.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
141,triangle_area,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called triangle_area that Compute the area of a triangle given its base and height.
142,triangle_area,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function triangle_area should Compute the area of a triangle given its base and height. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
143,triangle_area,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function triangle_area that Compute the area of a triangle given its base and height.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement triangle_area following the same pattern. Use type hints. Return the correct data type."
144,triangle_area,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called triangle_area that Compute the area of a triangle given its base and height.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
145,triangle_area,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named triangle_area is required. Its purpose is to Compute the area of a triangle given its base and height.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
146,fib4,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called fib4 that Compute the n-th element of the Fib4 sequence.
147,fib4,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function fib4 should Compute the n-th element of the Fib4 sequence. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
148,fib4,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function fib4 that Compute the n-th element of the Fib4 sequence.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement fib4 following the same pattern. Use type hints. Return the correct data type."
149,fib4,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called fib4 that Compute the n-th element of the Fib4 sequence.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
150,fib4,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named fib4 is required. Its purpose is to Compute the n-th element of the Fib4 sequence.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
151,median,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called median that Return the median of a list of integers.
152,median,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function median should Return the median of a list of integers. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
153,median,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function median that Return the median of a list of integers.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement median following the same pattern. Use type hints. Return the correct data type."
154,median,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called median that Return the median of a list of integers.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
155,median,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named median is required. Its purpose is to Return the median of a list of integers.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
156,is_palindrome,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called is_palindrome that Check if a string is a palindrome.
157,is_palindrome,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function is_palindrome should Check if a string is a palindrome. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
158,is_palindrome,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function is_palindrome that Check if a string is a palindrome.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement is_palindrome following the same pattern. Use type hints. Return the correct data type."
159,is_palindrome,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called is_palindrome that Check if a string is a palindrome.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
160,is_palindrome,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named is_palindrome is required. Its purpose is to Check if a string is a palindrome.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
161,modp,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called modp that Compute 2^n modulo p.
162,modp,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function modp should Compute 2^n modulo p. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
163,modp,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function modp that Compute 2^n modulo p.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement modp following the same pattern. Use type hints. Return the correct data type."
164,modp,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called modp that Compute 2^n modulo p.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
165,modp,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named modp is required. Its purpose is to Compute 2^n modulo p.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
166,encode_shift,easy,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called encode_shift that Encode a string by shifting each letter by 5 positions.
167,encode_shift,easy,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function encode_shift should Encode a string by shifting each letter by 5 positions. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
168,encode_shift,easy,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function encode_shift that Encode a string by shifting each letter by 5 positions.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement encode_shift following the same pattern. Use type hints. Return the correct data type."
169,encode_shift,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called encode_shift that Encode a string by shifting each letter by 5 positions.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
170,encode_shift,easy,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named encode_shift is required. Its purpose is to Encode a string by shifting each letter by 5 positions.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
171,decode_shift,medium,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called decode_shift that Decode a string that was encoded with a 5-position letter shift.
172,decode_shift,medium,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function decode_shift should Decode a string that was encoded with a 5-position letter shift. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
173,decode_shift,medium,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function decode_shift that Decode a string that was encoded with a 5-position letter shift.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement decode_shift following the same pattern. Use type hints. Return the correct data type."
174,decode_shift,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called decode_shift that Decode a string that was encoded with a 5-position letter shift.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
175,decode_shift,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named decode_shift is required. Its purpose is to Decode a string that was encoded with a 5-position letter shift.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
176,remove_vowels,medium,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called remove_vowels that Remove all vowels from a string.
177,remove_vowels,medium,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function remove_vowels should Remove all vowels from a string. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
178,remove_vowels,medium,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function remove_vowels that Remove all vowels from a string.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement remove_vowels following the same pattern. Use type hints. Return the correct data type."
179,remove_vowels,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called remove_vowels that Remove all vowels from a string.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
180,remove_vowels,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named remove_vowels is required. Its purpose is to Remove all vowels from a string.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
181,below_threshold,medium,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called below_threshold that Check if all numbers in a list are below a threshold.
182,below_threshold,medium,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function below_threshold should Check if all numbers in a list are below a threshold. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
183,below_threshold,medium,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function below_threshold that Check if all numbers in a list are below a threshold.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement below_threshold following the same pattern. Use type hints. Return the correct data type."
184,below_threshold,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called below_threshold that Check if all numbers in a list are below a threshold.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
185,below_threshold,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named below_threshold is required. Its purpose is to Check if all numbers in a list are below a threshold.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
186,add,medium,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called add that Add two numbers together.
187,add,medium,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function add should Add two numbers together. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
188,add,medium,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function add that Add two numbers together.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement add following the same pattern. Use type hints. Return the correct data type."
189,add,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called add that Add two numbers together.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
190,add,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named add is required. Its purpose is to Add two numbers together.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
191,same_chars,medium,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called same_chars that Check if two strings have the same set of characters.
192,same_chars,medium,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function same_chars should Check if two strings have the same set of characters. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
193,same_chars,medium,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function same_chars that Check if two strings have the same set of characters.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement same_chars following the same pattern. Use type hints. Return the correct data type."
194,same_chars,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called same_chars that Check if two strings have the same set of characters.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
195,same_chars,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named same_chars is required. Its purpose is to Check if two strings have the same set of characters.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
196,fib,medium,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called fib that Return the n-th Fibonacci number.
197,fib,medium,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function fib should Return the n-th Fibonacci number. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
198,fib,medium,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function fib that Return the n-th Fibonacci number.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement fib following the same pattern. Use type hints. Return the correct data type."
199,fib,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called fib that Return the n-th Fibonacci number.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
200,fib,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named fib is required. Its purpose is to Return the n-th Fibonacci number.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
201,correct_bracketing_1,medium,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called correct_bracketing_1 that Check if all brackets in a string are balanced.
202,correct_bracketing_1,medium,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function correct_bracketing_1 should Check if all brackets in a string are balanced. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
203,correct_bracketing_1,medium,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function correct_bracketing_1 that Check if all brackets in a string are balanced.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement correct_bracketing_1 following the same pattern. Use type hints. Return the correct data type."
204,correct_bracketing_1,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called correct_bracketing_1 that Check if all brackets in a string are balanced.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
205,correct_bracketing_1,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named correct_bracketing_1 is required. Its purpose is to Check if all brackets in a string are balanced.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
206,monotonic,medium,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called monotonic that Check if a list is monotonically increasing or decreasing.
207,monotonic,medium,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function monotonic should Check if a list is monotonically increasing or decreasing. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
208,monotonic,medium,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function monotonic that Check if a list is monotonically increasing or decreasing.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement monotonic following the same pattern. Use type hints. Return the correct data type."
209,monotonic,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called monotonic that Check if a list is monotonically increasing or decreasing.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
210,monotonic,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named monotonic is required. Its purpose is to Check if a list is monotonically increasing or decreasing.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
211,common,medium,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called common that Return a sorted list of common elements from two lists.
212,common,medium,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function common should Return a sorted list of common elements from two lists. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
213,common,medium,Few-Shot,Medium,Concrete,Programming-Heavy,Imperative,"Implement a Python function common that Return a sorted list of common elements from two lists.

Example of similar function pattern:
def sum_list(nums: list) -> int:
    return sum(nums)

Now implement common following the same pattern. Use type hints. Return the correct data type."
214,common,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Imperative,"Implement a Python function called common that Return a sorted list of common elements from two lists.

Think step by step:
1. First, understand the input parameters and their types.
2. Identify the core algorithm or logic required.
3. Handle any edge cases (empty inputs, negative numbers, boundary values).
4. Write the function body using clear variable names.
5. Verify the return type matches the expected output.

Now write the complete Python function with type hints and a docstring."
215,common,medium,Chain-of-Thought,Long,Concrete,Programming-Heavy,Declarative,"A Python function named common is required. Its purpose is to Return a sorted list of common elements from two lists.

The implementation should proceed as follows:
1. Define the function signature with appropriate type annotations.
2. Parse or validate the input parameters.
3. Apply the core computational logic.
4. Construct and return the output in the specified format.
5. Include a docstring that documents parameters and return value.

The complete, executable Python function should be returned."
216,largest_prime_factor,medium,Zero-Shot,Short,Abstract,Natural Language,Imperative,Write a Python function called largest_prime_factor that Find the largest prime factor of an integer.
217,largest_prime_factor,medium,Zero-Shot,Medium,Semi-Concrete,Mixed,Declarative,The function largest_prime_factor should Find the largest prime factor of an integer. The function should accept appropriate input parameters and return the correct result. Handle edge cases such as empty inputs and boundary values. The function should be implemented in Python and follow standard coding conventions.
